metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1773577026,1.000000,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_duration,1773577026,528.514328,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_blocked,1773577026,0.411327,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_connecting,1773577026,0.339601,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_tls_handshaking,1773577026,0.000000,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_sending,1773577026,0.127321,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_waiting,1773577026,382.142665,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_receiving,1773577026,146.244342,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_failed,1773577026,0.000000,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_reqs,1773577026,1.000000,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_duration,1773577026,528.586814,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_blocked,1773577026,0.402078,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_connecting,1773577026,0.333729,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_tls_handshaking,1773577026,0.000000,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_sending,1773577026,0.095420,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_waiting,1773577026,382.157704,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_receiving,1773577026,146.333690,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_failed,1773577026,0.000000,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
vus,1773577026,2.000000,,,,,,,,,,,,,,,,
vus_max,1773577026,10.000000,,,,,,,,,,,,,,,,
vus,1773577027,2.000000,,,,,,,,,,,,,,,,
vus_max,1773577027,10.000000,,,,,,,,,,,,,,,,
vus,1773577028,2.000000,,,,,,,,,,,,,,,,
vus_max,1773577028,10.000000,,,,,,,,,,,,,,,,
http_reqs,1773577029,1.000000,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_duration,1773577029,329.179660,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_blocked,1773577029,0.008396,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_connecting,1773577029,0.000000,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_tls_handshaking,1773577029,0.000000,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
